#CYCLE MODE MOVEINDEX MOVE FRAME RMSD_ALL RMSD_FOLDED RGYR_ALL RGYR_FOLDED Z_ALL Z_FOLDED Z_NTER THET
1 PULL 1 A 0 NONE 6.200016E-15 13.3442 13.3442 -44.7324 -44.7324 -65.7358 0
1 PULL 1 A 1 NONE 1.11725 13.3082 13.3082 -44.5983 -44.5983 -65.119 2.37027
1 PULL 1 A 2 NONE 1.29213 13.3183 13.3183 -44.2947 -44.2947 -65.5092 3.53553
1 PULL 1 A 3 NONE 1.38557 13.2422 13.2422 -44.4569 -44.4569 -65.8638 3.33125
1 PULL 1 A 4 NONE 1.58976 13.3089 13.3089 -44.4141 -44.4141 -66.7657 5.37922
2 PULL 1 B 0 NONE 2.33295 13.1891 13.1891 -42.9769 -42.9769 -65.9183 22.8218
2 PULL 1 B 1 NONE 2.41325 13.0841 13.0841 -42.857 -42.857 -65.7193 22.643
2 PULL 1 B 2 NONE 2.35795 13.0778 13.0778 -42.8503 -42.8503 -65.509 22.0245
2 PULL 1 B 3 NONE 2.29867 13.1642 13.1642 -42.9531 -42.9531 -65.765 20.7905
2 PULL 1 B 4 NONE 2.39818 13.1638 13.1638 -42.8163 -42.8163 -65.7607 22.4073
3 PULL 1 B 0 NONE 2.56211 13.1343 13.1343 -42.0693 -42.0693 -65.2563 18.084
3 PULL 1 B 1 NONE 2.54181 13.1254 13.1254 -42.0428 -42.0428 -65.9493 18.1971
3 PULL 1 B 2 NONE 2.61997 13.1 13.1 -41.9448 -41.9448 -65.4325 17.6584
3 PULL 1 B 3 NONE 2.65284 13.1316 13.1316 -41.667 -41.667 -65.3825 17.2577
3 PULL 1 B 4 NONE 2.72475 13.0858 13.0858 -41.6029 -41.6029 -65.3464 17.5871
4 PULL 1 E 0 NONE 2.81664 13.2491 13.2491 -41.7137 -41.7137 -65.7252 24.4285
4 PULL 1 E 1 NONE 2.86441 13.3614 13.3614 -41.7697 -41.7697 -66.285 23.9782
4 PULL 1 E 2 NONE 2.8517 13.2813 13.2813 -41.7252 -41.7252 -65.7825 25.8411
4 PULL 1 E 3 NONE 2.72542 13.2173 13.2173 -41.7362 -41.7362 -66.4153 26.944
4 PULL 1 E 4 NONE 2.77688 13.2509 13.2509 -41.594 -41.594 -65.8079 26.8715
5 PULL 1 E 0 NONE 2.7796 13.1177 13.1177 -40.4598 -40.4598 -62.1952 27.3752
5 PULL 1 E 1 NONE 2.78832 13.075 13.075 -40.4256 -40.4256 -63.4907 25.8668
5 PULL 1 E 2 NONE 2.97355 13.1008 13.1008 -40.3887 -40.3887 -62.997 25.7207
5 PULL 1 E 3 NONE 2.90505 13.0679 13.0679 -40.1056 -40.1056 -63.422 25.1314
5 PULL 1 E 4 NONE 2.86785 13.1415 13.1415 -40.1347 -40.1347 -63.0007 25.2497
6 PULL 1 A 0 NONE 2.76978 13.1993 13.1993 -40.4483 -40.4483 -63.7227 24.1683
6 PULL 1 A 1 NONE 2.78019 13.2498 13.2498 -40.5295 -40.5295 -64.5533 24.4836
6 PULL 1 A 2 NONE 2.82629 13.186 13.186 -40.8282 -40.8282 -63.2657 23.1845
6 PULL 1 A 3 NONE 2.82761 13.238 13.238 -40.9082 -40.9082 -64.0552 24.1131
6 PULL 1 A 4 NONE 2.79441 13.2107 13.2107 -40.982 -40.982 -64.023 22.9727
7 PULL 1 E 0 NONE 3.05497 13.0693 13.0693 -41.3973 -41.3973 -61.7197 22.5458
7 PULL 1 E 1 NONE 3.0487 13.064 13.064 -41.6902 -41.6902 -62.8329 23.2794
7 PULL 1 E 2 NONE 2.95757 12.9049 12.9049 -41.9858 -41.9858 -61.7162 24.069
7 PULL 1 E 3 NONE 3.00117 12.9864 12.9864 -41.8455 -41.8455 -62.0748 24.5671
7 PULL 1 E 4 NONE 3.00996 13.0871 13.0871 -41.6013 -41.6013 -63.6115 25.8177
8 PULL 1 A 0 NONE 3.00846 13.1717 13.1717 -40.3663 -40.3663 -65.2201 18.3013
8 PULL 1 A 1 NONE 3.01181 13.1611 13.1611 -40.3334 -40.3334 -65.4228 18.0905
8 PULL 1 A 2 NONE 3.18589 13.1548 13.1548 -40.5505 -40.5505 -65.8418 18.5427
8 PULL 1 A 3 NONE 3.21953 13.1804 13.1804 -40.5757 -40.5757 -65.1666 19.7653
8 PULL 1 A 4 NONE 3.17767 13.1057 13.1057 -40.4512 -40.4512 -64.8631 19.133
9 PULL 1 C 0 NONE 3.33429 13.2441 13.2441 -40.758 -40.758 -65.4934 11.1728
9 PULL 1 C 1 NONE 3.22689 13.1399 13.1399 -40.6837 -40.6837 -65.6516 10.641
9 PULL 1 C 2 NONE 3.22884 13.0902 13.0902 -40.8416 -40.8416 -65.3721 10.8206
9 PULL 1 C 3 NONE 3.06902 13.1732 13.1732 -40.8757 -40.8757 -65.246 9.62099
9 PULL 1 C 4 NONE 3.03053 13.2058 13.2058 -40.8273 -40.8273 -65.2144 9.22041
10 PULL 1 C 0 NONE 3.29219 13.076 13.076 -39.4817 -39.4817 -65.5212 3.46372
10 PULL 1 C 1 NONE 3.27298 12.9847 12.9847 -39.6629 -39.6629 -65.1145 3.30027
10 PULL 1 C 2 NONE 3.21244 13.0157 13.0157 -39.5115 -39.5115 -66.0388 4.35317
10 PULL 1 C 3 NONE 3.15746 13.0116 13.0116 -39.4118 -39.4118 -66.3119 5.13295
10 PULL 1 C 4 NONE 3.10067 13.0628 13.0628 -39.515 -39.515 -65.8546 5.31888
11 PULL 1 E 0 NONE 3.25576 13.1346 13.1346 -38.1422 -38.1422 -63.999 18.8441
11 PULL 1 E 1 NONE 3.21986 13.1028 13.1028 -38.3828 -38.3828 -63.4959 21.2529
11 PULL 1 E 2 NONE 3.41926 13.0235 13.0235 -38.2037 -38.2037 -62.1787 20.9432
11 PULL 1 E 3 NONE 3.35484 12.9558 12.9558 -38.1496 -38.1496 -62.2048 20.3362
11 PULL 1 E 4 NONE 3.3014 13.0956 13.0956 -38.0688 -38.0688 -63.3796 19.5921
12 PULL 1 A 0 NONE 3.95951 12.6746 12.6746 -36.7059 -36.7059 -62.5685 30.8613
12 PULL 1 A 1 NONE 4.03417 12.5968 12.5968 -36.6045 -36.6045 -62.1562 30.0134
12 PULL 1 A 2 NONE 4.16163 12.4707 12.4707 -36.4931 -36.4931 -61.5106 29.4157
12 PULL 1 A 3 NONE 4.07266 12.5647 12.5647 -36.5563 -36.5563 -61.8223 29.4983
12 PULL 1 A 4 NONE 4.01899 12.6224 12.6224 -36.6443 -36.6443 -62.0545 28.7529
13 PULL 1 E 0 NONE 4.01069 12.6953 12.6953 -36.2908 -36.2908 -61.8756 21.7272
13 PULL 1 E 1 NONE 4.0376 12.7537 12.7537 -36.4551 -36.4551 -62.077 21.2253
13 PULL 1 E 2 NONE 4.12678 12.7399 12.7399 -36.3339 -36.3339 -62.2173 21.417
13 PULL 1 E 3 NONE 3.95203 12.746 12.746 -36.2806 -36.2806 -62.2559 19.1648
13 PULL 1 E 4 NONE 4.07052 12.6908 12.6908 -36.2158 -36.2158 -59.7295 18.6753
14 PULL 1 A 0 NONE 3.96067 12.4801 12.4801 -35.5459 -35.5459 -63.8482 17.4116
14 PULL 1 A 1 NONE 3.9357 12.6441 12.6441 -35.458 -35.458 -64.1129 17.2316
14 PULL 1 A 2 NONE 3.94852 12.6836 12.6836 -35.551 -35.551 -64.3105 16.9764
14 PULL 1 A 3 NONE 3.86265 12.6821 12.6821 -35.3038 -35.3038 -64.1162 17.3625
14 PULL 1 A 4 NONE 3.96065 12.6469 12.6469 -35.1963 -35.1963 -64.4689 16.5291
15 PULL 1 F 0 NONE 4.03089 12.6505 12.6505 -34.6476 -34.6476 -63.8234 26.5643
15 PULL 1 F 1 NONE 4.04448 12.7253 12.7253 -34.6845 -34.6845 -63.0083 27.1682
15 PULL 1 F 2 NONE 4.08626 12.7299 12.7299 -34.5371 -34.5371 -63.3355 26.0386
15 PULL 1 F 3 NONE 4.06655 12.6665 12.6665 -34.3635 -34.3635 -62.7671 24.6277
15 PULL 1 F 4 NONE 4.14013 12.562 12.562 -34.1612 -34.1612 -62.3869 23.8422
16 PULL 1 F 0 NONE 4.53498 12.4942 12.4942 -34.6287 -34.6287 -63.407 39.5424
16 PULL 1 F 1 NONE 4.21189 12.5971 12.5971 -34.5551 -34.5551 -63.7195 39.5371
16 PULL 1 F 2 NONE 4.08669 12.5751 12.5751 -34.7085 -34.7085 -63.158 39.8623
16 PULL 1 F 3 NONE 4.09853 12.604 12.604 -34.8388 -34.8388 -63.1448 39.9936
16 PULL 1 F 4 NONE 4.00002 12.6589 12.6589 -34.703 -34.703 -63.7037 41.3793
17 PULL 1 F 0 NONE 3.58973 12.6195 12.6195 -33.6392 -33.6392 -63.9984 43.4133
17 PULL 1 F 1 NONE 3.52739 12.7199 12.7199 -33.7968 -33.7968 -63.7887 43.0371
17 PULL 1 F 2 NONE 3.48464 12.79 12.79 -33.8219 -33.8219 -63.7559 42.7084
17 PULL 1 F 3 NONE 3.45648 12.7528 12.7528 -33.8551 -33.8551 -64.6744 43.1896
17 PULL 1 F 4 NONE 3.41925 12.7102 12.7102 -33.9212 -33.9212 -63.6192 42.872
18 PULL 1 B 0 NONE 3.43519 12.8027 12.8027 -32.923 -32.923 -65.4607 48.4042
18 PULL 1 B 1 NONE 3.3137 12.6766 12.6766 -32.9454 -32.9454 -65.4808 48.0926
18 PULL 1 B 2 NONE 3.46839 12.7821 12.7821 -33.1144 -33.1144 -65.9044 48.375
18 PULL 1 B 3 NONE 3.4127 12.7326 12.7326 -33.3634 -33.3634 -65.0349 49.0639
18 PULL 1 B 4 NONE 3.27152 12.7237 12.7237 -33.3584 -33.3584 -65.6541 49.725
19 PULL 1 F 0 NONE 3.91808 12.6285 12.6285 -33.0654 -33.0654 -63.3409 46.6076
19 PULL 1 F 1 NONE 3.88394 12.6664 12.6664 -33.1698 -33.1698 -63.2642 45.5684
19 PULL 1 F 2 NONE 3.87599 12.6896 12.6896 -33.2569 -33.2569 -63.0803 44.9128
19 PULL 1 F 3 NONE 3.83827 12.7385 12.7385 -33.0718 -33.0718 -63.4409 46.9539
19 PULL 1 F 4 NONE 3.79848 12.6101 12.6101 -33.1241 -33.1241 -63.2447 46.7866
20 PULL 1 C 0 NONE 3.40492 12.6991 12.6991 -32.8164 -32.8164 -63.3015 49.3154
20 PULL 1 C 1 NONE 3.4616 12.7983 12.7983 -32.7074 -32.7074 -63.638 50.1905
20 PULL 1 C 2 NONE 3.50277 12.6684 12.6684 -32.6213 -32.6213 -61.9631 49.999
20 PULL 1 C 3 NONE 3.5337 12.7691 12.7691 -32.8771 -32.8771 -62.3768 49.2779
20 PULL 1 C 4 NONE 3.44811 12.6387 12.6387 -33.0918 -33.0918 -63.8299 48.5551
21 PULL 1 C 0 NONE 3.28599 12.8319 12.8319 -33.547 -33.547 -64.2032 52.3403
21 PULL 1 C 1 NONE 3.44722 12.7848 12.7848 -33.7239 -33.7239 -64.6392 53.932
21 PULL 1 C 2 NONE 3.54332 12.8196 12.8196 -33.863 -33.863 -63.955 53.7035
21 PULL 1 C 3 NONE 3.41243 12.724 12.724 -33.6544 -33.6544 -64.0077 53.0551
21 PULL 1 C 4 NONE 3.41801 12.7355 12.7355 -33.7201 -33.7201 -64.5883 52.1185
22 PULL 1 D 0 NONE 3.76006 12.5991 12.5991 -33.7397 -33.7397 -63.3021 52.9758
22 PULL 1 D 1 NONE 3.65713 12.6827 12.6827 -33.647 -33.647 -61.938 52.9165
22 PULL 1 D 2 NONE 3.71612 12.7065 12.7065 -33.8352 -33.8352 -62.7932 51.7427
22 PULL 1 D 3 NONE 3.69216 12.7104 12.7104 -33.7548 -33.7548 -64.1222 50.3596
22 PULL 1 D 4 NONE 3.66376 12.7138 12.7138 -33.9315 -33.9315 -64.1833 51.5084
23 PULL 1 E 0 NONE 3.59056 12.6924 12.6924 -33.5011 -33.5011 -64.6283 51.6825
23 PULL 1 E 1 NONE 3.51898 12.6395 12.6395 -33.4599 -33.4599 -64.8502 51.7363
23 PULL 1 E 2 NONE 3.67147 12.6122 12.6122 -33.3931 -33.3931 -64.5944 52.6594
23 PULL 1 E 3 NONE 3.7328 12.6681 12.6681 -33.5158 -33.5158 -64.7906 52.428
23 PULL 1 E 4 NONE 3.54895 12.6962 12.6962 -33.4886 -33.4886 -65.198 51.8664
24 PULL 1 D 0 NONE 3.42681 12.7676 12.7676 -33.4609 -33.4609 -63.4581 54.3271
24 PULL 1 D 1 NONE 3.26679 12.8172 12.8172 -33.4573 -33.4573 -64.3476 53.4421
24 PULL 1 D 2 NONE 3.30231 12.7068 12.7068 -33.5679 -33.5679 -64.9555 52.0392
24 PULL 1 D 3 NONE 3.33943 12.7499 12.7499 -33.4031 -33.4031 -65.3585 52.0252
24 PULL 1 D 4 NONE 3.44375 12.6888 12.6888 -33.2867 -33.2867 -64.5745 51.2396
25 PULL 1 C 0 NONE 3.8153 12.6451 12.6451 -32.1674 -32.1674 -63.6067 55.6907
25 PULL 1 C 1 NONE 3.87854 12.6818 12.6818 -32.3342 -32.3342 -63.1961 56.0883
25 PULL 1 C 2 NONE 3.89343 12.6035 12.6035 -32.2892 -32.2892 -62.4978 55.944
25 PULL 1 C 3 NONE 3.83764 12.5656 12.5656 -32.1739 -32.1739 -63.1787 56.2617
25 PULL 1 C 4 NONE 3.89212 12.5569 12.5569 -32.06 -32.06 -61.7538 56.2508
26 PULL 1 E 0 NONE 3.18451 12.926 12.926 -29.6347 -29.6347 -65.448 59.0359
26 PULL 1 E 1 NONE 3.20929 12.9628 12.9628 -29.6455 -29.6455 -65.1028 61.3321
26 PULL 1 E 2 NONE 3.23344 12.8991 12.8991 -29.7621 -29.7621 -65.1695 61.7733
26 PULL 1 E 3 NONE 3.122 12.9527 12.9527 -30.088 -30.088 -65.0953 62.4909
26 PULL 1 E 4 NONE 3.13938 12.917 12.917 -30.0826 -30.0826 -64.8451 63.2696
27 PULL 1 D 0 NONE 3.01387 12.9471 12.9471 -29.8407 -29.8407 -65.0167 65.6161
27 PULL 1 D 1 NONE 2.91133 13.0006 13.0006 -29.8068 -29.8068 -65.1583 65.8523
27 PULL 1 D 2 NONE 2.92865 13.028 13.028 -29.8935 -29.8935 -65.0287 65.4405
27 PULL 1 D 3 NONE 2.87838 12.9996 12.9996 -30.1702 -30.1702 -65.271 66.3934
27 PULL 1 D 4 NONE 2.94952 12.9844 12.9844 -30.2921 -30.2921 -65.2779 66.4321
28 PULL 1 D 0 NONE 2.99213 12.9603 12.9603 -29.3115 -29.3115 -64.9037 66.9133
28 PULL 1 D 1 NONE 2.96403 12.9637 12.9637 -29.2872 -29.2872 -65.1096 65.8362
28 PULL 1 D 2 NONE 3.08695 12.9804 12.9804 -29.2349 -29.2349 -64.4861 64.4252
