,smiles,mu,alpha,homo,lumo,gap,r2,zpve,u298,cv,u298_atom,smiles,scaled mu,scaled alpha,scaled homo,scaled lumo,scaled gap,scaled r2,scaled zpve,scaled u298,scaled cv,scaled u298_atom
0,C,0.0,13.21,-0.3877,0.1171,0.5048,35.3641,0.044749000000000004,-40.476062,6.468999999999999,-398.64329,C,-1.478134836122056,-2.7829841168228255,-4.160435482480147,1.6032171698321311,3.4632129397508065,-2.518375932405544,-1.3343215192644824,3.584314423833571,-2.647336232629934,2.2964732859967496
1,N,1.6256,9.46,-0.257,0.0829,0.3399,26.1563,0.034358,-56.523026,6.316,-278.6202711,N,-0.35536824308570664,-3.1846201278635964,0.3635829337745955,0.966369613519888,0.694912292301496,-2.5849026461371114,-1.675973177007931,3.2519935652661616,-2.684633530954867,2.7846195103075257
2,O,1.8511,6.31,-0.2928,0.0687,0.3615,19.0002,0.021375,-76.40186700000001,6.002000000000001,-213.97429390000002,O,-0.19962029357186756,-3.521994377137844,-0.8755896699126257,0.7019475287352724,1.0575277803846075,-2.6366057474354094,-2.1028486916343563,2.84031734361794,-2.7611783131380614,3.047541489576792
3,C#C,0.0,16.28,-0.2845,0.0506,0.3351,59.5248,0.026841000000000004,-77.305527,8.574,-387.2376864,C#C,-1.478134836122056,-2.4541781024507814,-0.5882954629125147,0.3649024770027695,0.6143310727274717,-2.3438139336160098,-1.9231289378834482,2.821603207594888,-2.1341936641725288,2.342861073809054
4,C#N,2.8937,12.99,-0.3604,0.0191,0.3796,48.7476,0.016600999999999998,-93.40937,6.278,-302.90675189999996,C#N,0.5204808690140686,-2.806546762803884,-3.2154798377689424,-0.22166764065324399,1.3613861291949927,-2.421679623490665,-2.2598157798902725,2.4881044266420074,-2.6938969122381833,2.685843841998485
5,C=O,2.1089,14.18,-0.267,-0.0406,0.2263,59.9891,0.026602999999999998,-114.480746,6.412999999999999,-360.51270560000006,C=O,-0.021563435990192382,-2.679094268633613,0.017445334979282016,-1.3333576731632124,-1.2121765709504235,-2.3404593480271,-1.9309542765941536,2.0517316795281793,-2.6609875313632427,2.4515543777424207
6,CC,0.0,23.95,-0.3385,0.1041,0.4426,109.5031,0.074542,-79.760666,10.097999999999999,-675.7104763,CC,-1.478134836122056,-1.6326985812020585,-2.4574384964072076,1.3611406133391732,2.419014636104068,-1.982718768984895,-0.3547403587264638,2.770759079049306,-1.7626833200732013,1.1696119379628236
7,CO,1.5258,16.97,-0.2653,0.0784,0.3437,83.794,0.051208000000000004,-115.675816,8.751,-484.35537180000006,CO,-0.4242979342674411,-2.3802770764192798,0.07628872677448646,0.8825738824261717,0.7587057577975993,-2.1684680180993667,-1.1219523481197484,2.0269826560712714,-2.091045809247607,1.9478732466714064
8,CC#C,0.7156,28.78,-0.2609,0.0613,0.3222,177.1963,0.05541,-116.60555,12.482000000000001,-673.980434,CC#C,-0.9838854672878953,-1.1153913989815454,0.22858927024442285,0.5641501042700503,0.3977690451222797,-1.493632761689589,-0.9837923764290575,2.0077285466260637,-1.1815280311409186,1.1766482017094184
9,CC#N,3.8266,24.45,-0.3264,0.0376,0.364,160.7223,0.045286,-132.714563,10.287,-592.893721,CC#N,1.1648146255615652,-1.579147113063289,-2.0386120018648786,0.1228259205098116,1.0994971655794121,-1.6126580535088986,-1.3166651878037732,1.6741226987639037,-1.7166101868482841,1.5064363803062284
