NSC,ConcentrationUnit,LogHighConc,CellPanelName,CellLineName,CellPanelNbr,CellLineNbr,logValue,NumTestsNSCCellLine,NumofExp
123127,log10(M),-6.6,Leukemia,CCRF-CEM,7,3,-7.16,1,1
123127,log10(M),-6.6,Leukemia,HL-60(TB),7,8,-7.252,1,1
123127,log10(M),-6.6,Leukemia,K-562,7,5,-7.033,1,1
123127,log10(M),-6.6,Leukemia,MOLT-4,7,6,-7.692,1,1
123127,log10(M),-6.6,Leukemia,RPMI-8226,7,10,-7.315,1,1
123127,log10(M),-6.6,Non-Small Cell Lung,A549/ATCC,1,4,-7.282,1,1
123127,log10(M),-6.6,Non-Small Cell Lung,EKVX,1,8,-6.749,1,1
123127,log10(M),-6.6,Non-Small Cell Lung,HOP-62,1,26,-7.171,1,1
123127,log10(M),-6.6,Non-Small Cell Lung,HOP-92,1,29,-7.504,1,1
123127,log10(M),-6.6,Non-Small Cell Lung,NCI-H226,1,13,-7.285,1,1
123127,log10(M),-6.6,Non-Small Cell Lung,NCI-H23,1,1,-7.161,1,1
123127,log10(M),-6.6,Non-Small Cell Lung,NCI-H322M,1,17,-6.792,1,1
123127,log10(M),-6.6,Non-Small Cell Lung,NCI-H460,1,21,-7.908,1,1
123127,log10(M),-6.6,Non-Small Cell Lung,NCI-H522,1,3,-9.384,1,1
123127,log10(M),-6.6,Colon,COLO 205,4,10,-6.87,1,1
123127,log10(M),-6.6,Colon,HCC-2998,4,2,-6.77,1,1
123127,log10(M),-6.6,Colon,HCT-116,4,3,-7.04,1,1
123127,log10(M),-6.6,Colon,HCT-15,4,15,-6.602,1,1
123127,log10(M),-6.6,Colon,HT29,4,1,-6.602,1,1
123127,log10(M),-6.6,Colon,KM12,4,17,-6.861,1,1
123127,log10(M),-6.6,Colon,SW-620,4,9,-7.237,1,1
123127,log10(M),-6.6,Central Nervous System,SF-268,12,14,-7.102,1,1
123127,log10(M),-6.6,Central Nervous System,SF-295,12,15,-7.101,1,1
123127,log10(M),-6.6,Central Nervous System,SF-539,12,16,-7.239,1,1
123127,log10(M),-6.6,Central Nervous System,SNB-19,12,2,-7.12,1,1
123127,log10(M),-6.6,Central Nervous System,SNB-75,12,5,-6.693,1,1
123127,log10(M),-6.6,Central Nervous System,U251,12,9,-7.32,1,1
123127,log10(M),-6.6,Melanoma,LOX IMVI,10,1,-7.407,1,1
123127,log10(M),-6.6,Melanoma,M14,10,14,-7.08,1,1
123127,log10(M),-6.6,Melanoma,MDA-MB-435,5,11,-6.602,1,1
123127,log10(M),-6.6,Melanoma,SK-MEL-2,10,5,-9.77,1,1
123127,log10(M),-6.6,Melanoma,SK-MEL-28,10,8,-6.602,1,1
123127,log10(M),-6.6,Melanoma,SK-MEL-5,10,7,-7.18,1,1
123127,log10(M),-6.6,Melanoma,UACC-257,10,21,-7.268,1,1
123127,log10(M),-6.6,Melanoma,UACC-62,10,20,-6.998,1,1
123127,log10(M),-6.6,Ovarian,IGROV1,6,10,-10.602,1,1
123127,log10(M),-6.6,Ovarian,OVCAR-3,6,1,-6.602,1,1
123127,log10(M),-6.6,Ovarian,OVCAR-4,6,2,-6.602,1,1
123127,log10(M),-6.6,Ovarian,OVCAR-5,6,3,-6.602,1,1
123127,log10(M),-6.6,Ovarian,OVCAR-8,6,5,-6.817,1,1
123127,log10(M),-6.6,Ovarian,NCI/ADR-RES,5,2,-6.602,1,1
123127,log10(M),-6.6,Ovarian,SK-OV-3,6,11,-6.602,1,1
123127,log10(M),-6.6,Renal,786-0,9,18,-7.166,1,1
123127,log10(M),-6.6,Renal,ACHN,9,23,-7.117,1,1
123127,log10(M),-6.6,Renal,CAKI-1,9,15,-6.602,1,1
123127,log10(M),-6.6,Renal,SN12C,9,8,-7.071,1,1
123127,log10(M),-6.6,Renal,TK-10,9,24,-7.389,1,1
123127,log10(M),-6.6,Renal,UO-31,9,4,-7.324,1,1
123127,log10(M),-6.6,Prostate,PC-3,11,1,-6.602,1,1
123127,log10(M),-6.6,Prostate,DU-145,11,3,-7.197,1,1
123127,log10(M),-6.6,Breast,MCF7,5,1,-7.854,1,1
123127,log10(M),-6.6,Breast,MDA-MB-231/ATCC,5,5,-6.602,1,1
123127,log10(M),-6.6,Breast,HS 578T,5,6,-6.687,1,1
123127,log10(M),-6.6,Breast,BT-549,5,13,-6.996,1,1
123127,log10(M),-6.6,Breast,T-47D,5,14,-6.618,1,1
